Nama Hotel,Tanggal,Harga,Daerah,Bintang,Rating,Latitude,Longitude,LD,PD,Oktober,November,Weekend,AC,Restaurant,24-Hour Front Desk,Elevator,WiFi,Parking,Swimming Pool,Standard Room,Non-Standrad Room,tangerang,lebak,serang,pandeglang
OYO 90708 Kbr Home,1024,50000,tangerang,0,0,-6.2408795,106.6241064,0.011023383,595929.2,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0
OYO 90708 Kbr Home,1025,50000,tangerang,0,0,-6.2408795,106.6241064,0.011023383,607923.7778,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0
OYO 90708 Kbr Home,1026,50000,tangerang,0,0,-6.2408795,106.6241064,0.011023383,497136.5,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0
Hotel Padma Syariah Tangerang,1025,88000,tangerang,0,7.4,-6.1851703,106.6102151,0.022189164,365830.25,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Hotel Padma Syariah Tangerang,1027,88000,tangerang,0,7.4,-6.1851703,106.6102151,0.022189164,282200.625,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Hotel Padma Syariah Tangerang,1029,88000,tangerang,0,7.4,-6.1851703,106.6102151,0.022189164,432682.4444,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Hotel Padma Syariah Tangerang,1030,88000,tangerang,0,7.4,-6.1851703,106.6102151,0.022189164,401977.5556,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Hotel Padma Syariah Tangerang,1031,88000,tangerang,0,7.4,-6.1851703,106.6102151,0.022189164,426651.4444,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Hotel Padma Syariah Tangerang,1101,88000,tangerang,0,7.4,-6.1851703,106.6102151,0.022189164,310757,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Hotel Padma Syariah Tangerang,1114,88000,tangerang,0,7.7,-6.1851703,106.6102151,0.022189164,394789.3,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Hotel Padma Syariah Tangerang,1115,88000,tangerang,0,7.7,-6.1851703,106.6102151,0.022189164,352371.6667,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
