Nama Hotel,Tanggal,Harga,Daerah,Bintang,Rating,Latitude,Longitude,LD,PD,Oktober,November,Weekend,AC,Restaurant,24-Hour Front Desk,Elevator,WiFi,Parking,Swimming Pool,Standard Room,Non-Standrad Room,jakarta barat,jakarta pusat,jakarta selatan,jakarta timur,jakarta utara
OYO 2628 Kartini Residence,1020,90748,jakarta pusat,0,6.6,-6.164106,106.8333155,0.002866349,199030,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
OYO 2628 Kartini Residence,1021,90748,jakarta pusat,0,6.6,-6.164106,106.8333155,0.002866349,196142.1111,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
OYO 2628 Kartini Residence,1022,90748,jakarta pusat,0,6.6,-6.164106,106.8333155,0.002866349,197934.6667,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
OYO 2628 Kartini Residence,1023,90748,jakarta pusat,0,6.6,-6.164106,106.8333155,0.002866349,197865.5,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0
OYO 2628 Kartini Residence,1025,90748,jakarta pusat,0,6.6,-6.164106,106.8333155,0.002866349,197865.8889,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
OYO 2628 Kartini Residence,1026,90748,jakarta pusat,0,6.6,-6.164106,106.8333155,0.002866349,205601.4,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
OYO 2628 Kartini Residence,1027,90748,jakarta pusat,0,6.6,-6.164106,106.8333155,0.002866349,158081.7778,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
OYO 2628 Kartini Residence,1028,90748,jakarta pusat,0,6.6,-6.164106,106.8333155,0.002866349,156025.625,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
OYO 2628 Kartini Residence,1029,90748,jakarta pusat,0,6.7,-6.164106,106.8333155,0.002866349,154871.75,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
OYO 2628 Kartini Residence,1114,90748,jakarta pusat,0,6.7,-6.164106,106.8333155,0.002981402,188777.5,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0
OYO 2628 Kartini Residence,1115,90748,jakarta pusat,0,6.7,-6.164106,106.8333155,0.002981402,210661.5556,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
