Nama Hotel,Tanggal,Harga,Daerah,Bintang,Rating,Latitude,Longitude,LD,PD,Oktober,November,Weekend,AC,Restaurant,24-Hour Front Desk,Elevator,WiFi,Parking,Swimming Pool,Standard Room,Non-Standrad Room,sleman,yogyakarta,bantul,kulon progo,gunungkidul
Pakem Sari Hotel & Resto,1101,68950,sleman,0,7.3,-7.6633438,110.4136656,0.052180203,200204.7778,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0
Pakem Sari Hotel & Resto,1112,68950,sleman,0,7.3,-7.6633438,110.4136656,0.052180203,385716.8889,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0
Pakem Sari Hotel & Resto,1114,68950,sleman,0,7.3,-7.6633438,110.4136656,0.052180203,284481.6667,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0
Pakem Sari Hotel & Resto,1115,68950,sleman,0,7.3,-7.6633438,110.4136656,0.052180203,168686.3,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0
Pakem Sari Hotel & Resto,1024,70000,sleman,0,7,-7.6633438,110.4136656,0.052180203,208713,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0
Pakem Sari Hotel & Resto,1117,75000,sleman,0,7.3,-7.6633438,110.4136656,0.052180203,161615.4,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0
Pakem Sari Hotel & Resto,1118,75000,sleman,0,7.3,-7.6633438,110.4136656,0.052180203,145767.4444,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0
Pakem Sari Hotel & Resto,1121,75000,sleman,0,7.3,-7.6633438,110.4136656,0.052180203,159701.2222,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0
Pakem Sari Hotel & Resto,1020,76000,sleman,0,7.1,-7.6633438,110.4136656,0.052180203,177097.4444,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0
Pakem Sari Hotel & Resto,1021,76000,sleman,0,7,-7.6633438,110.4136656,0.052180203,214930.5,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0
D'Talent Hotel,1024,78000,yogyakarta,0,8,-7.8208843,110.3692888,0.001276902,169511.3,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0
Pakem Sari Hotel & Resto,1026,78750,sleman,0,7.3,-7.6633438,110.4136656,0.052180203,168028.2,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0
Pakem Sari Hotel & Resto,1027,78750,sleman,0,7.3,-7.6633438,110.4136656,0.052180203,181673.3333,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0
Pakem Sari Hotel & Resto,1028,78750,sleman,0,7.3,-7.6633438,110.4136656,0.052180203,209325,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0
Ndalem Mantrigawen,1115,84780,yogyakarta,0,8.1,-7.8089244,110.3684367,0.00642474,345900.7778,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0
Ndalem Mantrigawen,1116,84780,yogyakarta,0,8.1,-7.8089244,110.3684367,0.00642474,235334,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0
Ndalem Mantrigawen,1117,84780,yogyakarta,0,8.1,-7.8089244,110.3684367,0.00642474,308117.75,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0
Ndalem Mantrigawen,1118,84780,yogyakarta,0,8.1,-7.8089244,110.3684367,0.00642474,413436.5,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0
Pakem Sari Hotel & Resto,1025,90000,sleman,0,7.3,-7.6633438,110.4136656,0.052180203,189144.6667,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0
Pakem Sari Hotel & Resto,1031,90000,sleman,0,7.3,-7.6633438,110.4136656,0.052180203,181465.8889,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0
OYO 90636 Happy Syariah,1120,91549,sleman,0,8.5,-7.7460374,110.3541338,0.012759763,345360.8,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0
OYO 1593 Pondok Garini Syariah,1112,93481,sleman,1,8.4,-7.7544941,110.3846858,0.003725321,338295.2,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0
OYO 1593 Pondok Garini Syariah,1117,93481,sleman,1,8.4,-7.7544941,110.3846858,0.003725321,218662.7778,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0
OYO 1593 Pondok Garini Syariah,1119,93481,sleman,1,8.4,-7.7544941,110.3846858,0.003725321,305647.2222,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0
OYO 1593 Pondok Garini Syariah,1121,93481,sleman,1,8.4,-7.7544941,110.3846858,0.003725321,181996.7,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0
OYO 4016 Tan Jokteng Guest House,1114,93500,yogyakarta,1,9.2,-7.8216231,110.3659091,0.001918849,273023.8889,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0
Ndalem Mantrigawen,1114,94700,yogyakarta,0,8.1,-7.8089244,110.3684367,0.00642474,385377.3,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0
Ndalem Mantrigawen,1119,94700,yogyakarta,0,8.1,-7.8089244,110.3684367,0.00642474,489533,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0
Ndalem Mantrigawen,1121,94700,yogyakarta,0,8.1,-7.8089244,110.3684367,0.00642474,420030.25,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0
SPOT ON 2857 Hotel Pelangi,1118,95015,yogyakarta,0,8,-7.8074837,110.3561406,0.006253315,171706.75,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
OYO 2394 Hotel Brosta Near RS Ludira Husada Tama,1022,95524,yogyakarta,1,6.9,-7.8034529,110.3536415,0.004793122,153148.1429,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
OYO 2224 Lousiana House Near RS Condong Catur,1112,95605,sleman,1,7.8,-7.7442723,110.4130658,0.014725795,108861,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
SPOT ON 2857 Hotel Pelangi,1112,95766,yogyakarta,0,8,-7.8074837,110.3561406,0.006253315,158850.6667,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
OYO 1593 Pondok Garini Syariah,1118,96284,sleman,1,8.4,-7.7544941,110.3846858,0.003725321,251832.75,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0
OYO 1593 Pondok Garini Syariah,1027,96565,sleman,1,8.4,-7.7544941,110.3846858,0.003725321,218620.3333,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0
OYO 2224 Lousiana House Near RS Condong Catur,1121,97040,sleman,1,7.7,-7.7442723,110.4130658,0.014725795,88926.4,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0
