Nama Hotel,Tanggal,Harga,Daerah,Bintang,Rating,Latitude,Longitude,LD,PD,Oktober,November,Weekend,AC,Restaurant,24-Hour Front Desk,Elevator,WiFi,Parking,Swimming Pool,Standard Room,Non-Standrad Room,karangasem,ogan komering ilir,gianyar,tabanan,buleleng,badung,denpasar,jembrana,bangli,klungkung
The Kubu Hotel,1101,48780,badung,2,8,-8.7189484,115.1733533,0.001758499,250246.5556,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
The Kubu Hotel,1121,48780,badung,2,8,-8.7189484,115.1733533,0.001758499,278731.1111,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
The Kubu Hotel,1125,48780,badung,2,8,-8.7189484,115.1733533,0.001758499,265100.1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
The Kubu Hotel,1126,48780,badung,2,8,-8.7189484,115.1733533,0.001758499,265100.1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
Grandmas Plus Hotel Seminyak,1027,61915,badung,3,8.6,-8.6921607,115.1615769,0.002048879,1096400.857,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
Sapta Petala,1127,69300,badung,1,8.6,-8.7324677,115.1713399,0.002655862,283505.9,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Sapta Petala,1128,69300,badung,1,8.6,-8.7324677,115.1713399,0.002655862,242005.9,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Grandmas Plus Hotel Seminyak,1107,73500,badung,3,8.6,-8.6921607,115.1615769,0.002048879,862088.125,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
Sapta Petala,1125,81900,badung,1,8.6,-8.7324677,115.1713399,0.002655862,261234.2,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Sapta Petala,1126,81900,badung,1,8.6,-8.7324677,115.1713399,0.002655862,299147.7778,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Grand Sinar Indah Hotel,1126,87119,badung,3,8.1,-8.7027403,115.16741,0.00187074,644425.625,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
Grand Sinar Indah Hotel,1127,87119,badung,3,8.1,-8.7027403,115.16741,0.00187074,606549.1111,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
Grand Sinar Indah Hotel,1128,87119,badung,3,8.1,-8.7027403,115.16741,0.00187074,581033.9,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
Grandmas Plus Hotel Seminyak,1102,89670,badung,3,8.6,-8.6921607,115.1615769,0.002048879,909021.6,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
