Nama Hotel,Tanggal,Harga,Daerah,Bintang,Rating,Latitude,Longitude,LD,PD,Oktober,November,Weekend,AC,Restaurant,24-Hour Front Desk,Elevator,WiFi,Parking,Swimming Pool,Standard Room,Non-Standrad Room,sukabumi,cianjur,bekasi,cirebon,bandung,bogor,sumedang,banjar,subang,karawang,tasikmalaya,majalengka,purwakarta,garut,jakarta selatan,kuningan,pengandaran,ciamis,pangandaran,indramayu,depok
SPOT ON 2584 Hotel Karya Nunggal Asri,1027,70830,bandung,0,6.7,-6.8072299,107.9868897,0.163373992,262642.125,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ariandri Boutique Hotel by Owl,1127,81900,bandung,2,8.2,-6.8879885,107.5825309,0.0027994,178339.6667,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2750 Ayu Residence Syariah,1027,83330,sukabumi,0,8,-6.9796233,106.8307563,0.108500927,220269.8,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2584 Hotel Karya Nunggal Asri,1028,84983,bandung,0,6.7,-6.8072299,107.9868897,0.163373992,238817.6,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2584 Hotel Karya Nunggal Asri,1029,84983,bandung,0,6.7,-6.8072299,107.9868897,0.163373992,256945.9,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2584 Hotel Karya Nunggal Asri,1031,84983,bandung,0,6.7,-6.8072299,107.9868897,0.163373992,237517.6,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2584 Hotel Karya Nunggal Asri,1101,84983,bandung,0,6.7,-6.8072299,107.9868897,0.163373992,254557.6,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2584 Hotel Karya Nunggal Asri,1102,84983,bandung,0,6.7,-6.8072299,107.9868897,0.163373992,254557.6,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2584 Hotel Karya Nunggal Asri,1103,84983,bandung,0,6.7,-6.8072299,107.9868897,0.163373992,254557.6,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2584 Hotel Karya Nunggal Asri,1104,84983,bandung,0,6.7,-6.8072299,107.9868897,0.163373992,254557.6,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2584 Hotel Karya Nunggal Asri,1105,84983,bandung,0,6.7,-6.8072299,107.9868897,0.163373992,256282.3,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2584 Hotel Karya Nunggal Asri,1107,84983,bandung,0,6.7,-6.8072299,107.9868897,0.163373992,256902.2,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2584 Hotel Karya Nunggal Asri,1108,84983,bandung,0,6.7,-6.8072299,107.9868897,0.163373992,248557.6,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2584 Hotel Karya Nunggal Asri,1121,84983,bandung,0,6.7,-6.8072299,107.9868897,0.163373992,245540.7,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2584 Hotel Karya Nunggal Asri,1122,84983,bandung,0,6.7,-6.8072299,107.9868897,0.163373992,243558.9,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2584 Hotel Karya Nunggal Asri,1123,84983,bandung,0,6.7,-6.8072299,107.9868897,0.163373992,248557.6,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2584 Hotel Karya Nunggal Asri,1124,84983,bandung,0,6.7,-6.8072299,107.9868897,0.163373992,248557.6,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2584 Hotel Karya Nunggal Asri,1125,84983,bandung,0,6.7,-6.8072299,107.9868897,0.163373992,248557.6,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2584 Hotel Karya Nunggal Asri,1128,84983,bandung,0,6.7,-6.8072299,107.9868897,0.163373992,231054.4,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 3859 Sweet Candy 2,1027,84996,karawang,0,7.1,-6.2999183,107.2985034,0.009210478,139220.3333,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 90632 Hotel Pelangi Indah Paskal,1027,88182,karawang,0,0,-6.9098629,107.5979708,0.00228728,268266.2,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 90632 Hotel Pelangi Indah Paskal,1028,88182,karawang,0,0,-6.9098629,107.5979708,0.00228728,279016.2,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 90632 Hotel Pelangi Indah Paskal,1029,88182,karawang,0,0,-6.9098629,107.5979708,0.00228728,345006.2,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 90632 Hotel Pelangi Indah Paskal,1101,88182,karawang,0,0,-6.9098629,107.5979708,0.00228728,285292.5556,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 90632 Hotel Pelangi Indah Paskal,1102,88182,karawang,0,0,-6.9098629,107.5979708,0.00228728,289137.8889,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 90632 Hotel Pelangi Indah Paskal,1103,88182,karawang,0,0,-6.9098629,107.5979708,0.00228728,304473.8889,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 90632 Hotel Pelangi Indah Paskal,1104,88182,karawang,0,0,-6.9098629,107.5979708,0.00228728,326593.7778,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
