Nama Hotel,Tanggal,Harga,Daerah,Bintang,Rating,Latitude,Longitude,LD,PD,Oktober,November,Weekend,AC,Restaurant,24-Hour Front Desk,Elevator,WiFi,Parking,Swimming Pool,Standard Room,Non-Standrad Room,blora,semarang,cilacap,wonogiri,banyumas,temanggung,tegal,klaten,banjarnegara,pemalang,wonosobo,surakarta,magelang,grobogan,pekalongan,sukoharjo,karanganyar,kebumen,rembang,boyolali,jepara,pati,purbalingga,salatiga,brebes,kudus,demak,kendal,purworejo
SPOT ON 2815 Hotel Damai Cilacap,1127,65948,cilacap,1,7.2,-7.7312714,109.0040205,0.015138827,230291.4444,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2289 Hotel Saudara,1127,67832,tegal,1,6.9,-6.8604482,109.1583414,0.024545037,230647.6667,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2289 Hotel Saudara,1027,69997,tegal,1,6.8,-6.8604482,109.1583414,0.024545037,231682.4444,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2546 Griya Widya Syariah,1027,76997,klaten,0,7.2,-7.7209563,110.6039979,0.048544265,125965.1667,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2815 Hotel Damai Cilacap,1027,77759,cilacap,1,7.2,-7.7312714,109.0040205,0.015138827,258284.5,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2815 Hotel Damai Cilacap,1028,77762,cilacap,1,7.2,-7.7312714,109.0040205,0.015138827,239217.3,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2815 Hotel Damai Cilacap,1029,77762,cilacap,1,7.2,-7.7312714,109.0040205,0.015138827,234266.4444,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2815 Hotel Damai Cilacap,1102,77762,cilacap,1,7.2,-7.7312714,109.0040205,0.015138827,219094.2,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2815 Hotel Damai Cilacap,1103,77762,cilacap,1,7.2,-7.7312714,109.0040205,0.015138827,219270,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2815 Hotel Damai Cilacap,1104,77762,cilacap,1,7.2,-7.7312714,109.0040205,0.015138827,213831.9,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2815 Hotel Damai Cilacap,1105,77762,cilacap,1,7.2,-7.7312714,109.0040205,0.015138827,209160.2222,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2815 Hotel Damai Cilacap,1106,77762,cilacap,1,7.2,-7.7312714,109.0040205,0.015138827,215104.9,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2815 Hotel Damai Cilacap,1108,77762,cilacap,1,7.2,-7.7312714,109.0040205,0.015138827,213831.9,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 1942 Asia Residence,1027,78747,semarang,0,6.6,-6.9920304,110.4338677,0.006197917,221650.3333,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2815 Hotel Damai Cilacap,1031,81650,cilacap,1,7.2,-7.7312714,109.0040205,0.015138827,209668.2,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2815 Hotel Damai Cilacap,1107,81650,cilacap,1,7.2,-7.7312714,109.0040205,0.015138827,208555.7,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2815 Hotel Damai Cilacap,1121,81650,cilacap,1,7.2,-7.7312714,109.0040205,0.015138827,205676.7,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2815 Hotel Damai Cilacap,1123,81650,cilacap,1,7.2,-7.7312714,109.0040205,0.015138827,206593.9,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2815 Hotel Damai Cilacap,1124,81650,cilacap,1,7.2,-7.7312714,109.0040205,0.015138827,207725.1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2815 Hotel Damai Cilacap,1125,81650,cilacap,1,7.2,-7.7312714,109.0040205,0.015138827,207680.2,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
